Sample ID,Classifications,Cell Culture Media,LINE,Gender,Doubling time (hr),C4-POS RAW FILE,HILIC-POS RAW FILE,HILIC-NEG RAW FILE,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine
MDAMB134VI_BREAST,breast,Leibovitz's L-15 + 20% FBS,Batch3,female,NA,0231-CCL_Batch3_LIP-MDA-MB-134-VI.wiff,231-CCLE-batch3-HIL-MDA-MB-134-VI.wiff,0231-CCL_Batch_3_CMH-MDA-MB-134-VI.wiff,3432,133362,144380,190084,72223,32086,89047,135115,299159,1797295,651152,109993,221530,770604,1599533,1221594,115393,112345,652709,8695,99334,2740,169765,,,1295,482,22981,,23759,578,6926,369,2192,1056,3526,,38115,6747,1739320,1281652,341244,2703,133437,65761,,10799,,2157,998,748,1462,5690,4651,775,28859,1252,415142,,12375,938980,7012282,357087,22400,101636,133449,14473,415,9000,19293,156496,67900,105471,257,,2610,268
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,RPMI 1640 + 10% FBS,Batch3,male,NA,0230-CCL_Batch3_LIP-HEL.wiff,230-CCLE-batch3-HIL-HEL.wiff,0230-CCL_Batch_3_CMH-HEL.wiff,3734,46162,70081,50147,29372,118046,1364089,180522,1378941,357829,434702,65104,100439,780256,853765,408797,20183,69087,4924284,225242,51327,5846,279318,,5912,61196,,27565,229,23710,927,10751,454,1147,12447,2857,,160338,19030,1697985,4702365,79039,2686,197261,97733,,8791,,3156,,1000,1047,2297,3429,3410,57404,13511,280498,130685,3473,337031,1410068,80894,10973,287901,82294,3291,181,868,9975,50118,5452,10877,395,,8388,282
NCIH1944_LUNG,lung_NSC,RPMI 1640 + 10% FBS,Batch3,female,56.87727828,0229-CCL_Batch3_LIP-NCI-H1944.wiff,229-CCLE-batch3-HIL-NCI-H1944.wiff,0229-CCL_Batch_3_CMH-NCI-H1944.wiff,4768,150059,56450,126400,234615,223904,1962620,526467,1924159,1372310,4771717,630137,486896,4310813,5115083,2115362,107194,300268,4697278,428204,638214,9998,1207675,551,,1017445,1659,142206,8713,199231,11033,83992,11954,21276,5452,38947,7011,941285,48393,4325772,3933092,90826,,6603455,909876,324,8471,1721,940,623,9257,576,1534,2565,2464,415512,2327905,982817,2050623,20664,1854273,7458020,433897,13543,360824,2696248,9742,991,657,196,1520,257,1840,,1441,197503,1196
A2780_OVARY,ovary,RPMI 1640 + 10% FBS,Batch3,female,26.7418597,0228-CCL_Batch3_LIP-A2780.wiff,228-CCLE-batch3-HIL-A2780.wiff,0228-CCL_Batch_3_CMH-A2780.wiff,20567,1312778,943946,423102,944250,1097089,6141502,1807869,27507275,4324826,19059815,2485436,1764904,14529241,18057833,8115944,436451,1034655,14088579,1112878,3894740,220719,374483,3254,19371,64316,9104,778554,8166,1051757,92462,533442,12092,85012,7782,179647,89636,5168959,1380648,12288922,6327192,426738,111121,8040906,2910311,1672,12271,5575,1297,36910,57345,35441,196232,3666,,4456391,3089,1403044,3629578,65107,1390198,6377259,1470658,34598,175060,1942977,38190,7018,997,750,2304,512,1951,259,6469,22996,6214
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,RPMI 1640 + 15% FBS,Batch3,male,NA,0227-CCL_Batch3_LIP-U266B1.wiff,227-CCLE-batch3-HIL-U266B1.wiff,0227-CCL_Batch_3_CMH-U266B1.wiff,8747,111043,79203,71429,52335,427305,1026482,200648,987972,694605,322861,61627,152433,1070802,1115020,573252,27530,106901,1724087,259323,82796,3452,360863,,,5407,,26078,333,28743,999,7494,488,1118,3687,2019,,58137,21820,2407904,1935586,116508,2818,1657122,65730,,6132,,5491,544,704,579,21218,5176,3227,27063,5329,809560,163641,7728,1248929,2396745,751986,17660,147229,225502,1521,,421,799,3191,1100,1697,230,1159,8126,
HT1080_SOFT_TISSUE,soft_tissue,EMEM + 10% FBS,Batch3,male,39.58069281,0226-CCL_Batch3_LIP-HT-1080.wiff,226-CCLE-batch3-HIL-HT-1080.wiff,0226-CCL_Batch_3_CMH-HT-1080.wiff,13997,725873,19171,824046,304870,164001,3542636,377754,6155938,4271480,2481770,1313377,1968604,6169247,7320042,7704623,300945,1070373,14639849,161886,336673,58836,996632,1544,1852,54167,2158,150378,8867,252287,17393,80662,1073,11068,9052,27197,47632,1490478,129159,5967126,3891496,573550,125003,7515877,686537,257,9578,,1441,11681,7619,3044,7468,4226,6314,408561,9383343,1484741,93595,12967,895488,10222805,950802,14957,537138,303538,6911,1006,604,869,2538,589,1616,,3692,113514,972
CGTHW1_THYROID,thyroid,RPMI 1640 + 10% FBS,Batch3,female,NA,0225-CCL_Batch3_LIP-CGTH-W-1.wiff,225-CCLE-batch3-HIL-CGTH-W-1.wiff,0225-CCL_Batch_3_CMH-CGTH-W-1.wiff,14621,1066948,60088,215549,213333,190350,2803640,1701418,1372572,2248579,4307707,295626,362958,5473693,7243068,2263261,164195,311991,22372500,1753350,1026351,84037,1153104,362,,121436,2407,170570,10460,302792,18648,91411,1595,17124,5914,26562,100837,881679,102344,6532063,1476518,324037,,3212781,733111,283,5672,315,2010,3833,9686,3768,23303,3566,7175,523425,3573659,454704,819355,43008,519126,1809754,389128,9450,303407,414773,7124,670,,197,485,128,478,,10600,154862,1040
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CML,RPMI 1640 + 20% FBS,Batch3,male,NA,0224-CCL_Batch3_LIP-KYO-1.wiff,224-CCLE-batch3-HIL-KYO-1.wiff,0224-CCL_Batch_3_CMH-KYO-1.wiff,10910,280942,50943,134818,41676,179793,2665775,544263,1778987,445984,635782,77453,147610,1127884,1274972,612645,28658,90913,12084752,768503,101742,16555,314957,588,1502,607868,1280,52498,473,81277,2571,27450,537,1295,26186,4086,,516702,42050,2950806,4732631,81839,2767,11366566,356975,,6435,,5554,,1917,1582,80730,2860,6657,53727,55285,1646791,3211184,7564,1957225,11057065,1438846,47130,943395,379301,18702,654,5359,22498,114981,18184,33743,376,2125,21972,
CAL148_BREAST,breast,DMEM + 20% FBS,Batch3,female,70.1,0223-CCL_Batch3_LIP-CAL-148.wiff,223-CCLE-batch3-HIL-CAL-148.wiff,0223-CCL_Batch_3_CMH-CAL-148.wiff,1213,44412,66148,105366,35737,150196,470383,7028,1152329,501108,339075,284594,251644,837592,892073,763270,27882,98963,691378,15602,86665,3727,35552,,625,20310,565,9852,,34312,1643,9371,696,1997,872,23949,,456161,40544,5702735,3718462,315409,5420,546067,108153,,8129,281,2012,1945,1063,801,6153,5344,1440,69917,1323,308414,95412,6064,594628,4467889,217092,13959,608581,87793,7026,213,2209,3157,32921,3815,9302,641,,4710,315
KALS1_CENTRAL_NERVOUS_SYSTEM,glioma,RPMI 1640 + 10% FBS,Batch3,female,58.8539451,0222-CCL_Batch3_LIP-KALS-1.wiff,222-CCLE-batch3-HIL-KALS-1.wiff,0222-CCL_Batch_3_CMH-KALS-1.wiff,8419,441351,253813,160608,239643,349584,4896327,507016,3644842,1672351,4202900,674699,513830,3823908,4114706,2052597,97014,322315,6796045,490552,806717,21486,188558,,,15980,1400,89983,2055,176846,11359,60639,1572,14378,2831,26721,49656,1020133,115969,3752128,4513373,511586,5520,4071547,674771,211,8686,1113,18583,34672,7680,22146,154481,3425,2342,397333,5796609,710309,514951,19330,1063418,3276607,2163266,21645,290654,999554,4702,695,972,1316,4472,3141,4621,,2684,16072,767
SNU46_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,RPMI 1640 + 10% FBS,Batch3,male,54.02483223,0221-CCL_Batch3_LIP-SNU-46.wiff,221-CCLE-batch3-HIL-SNU-46.wiff,0221-CCL_Batch_3_CMH-SNU-46.wiff,8108,1192532,88659,182108,253420,455463,4786649,558028,5217256,1721135,3414370,585634,707364,4999239,5839535,2065248,106457,144894,10148725,706813,1178621,11431,1051504,387,1282,214858,2639,69831,1724,407004,35321,76793,62706,5437,1869,51486,152869,721375,26808,3969255,4928623,1579801,5476,2500847,554383,223,7122,2397,48111,2264,13450,2448,127688,19084,3690,590173,1596794,1913391,194744,28598,2590668,12628874,651781,27950,153873,246356,7230,396,682,2291,13778,4371,9487,210,1979,116037,1533
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia_other,RPMI 1640 + 10% FBS,Batch3,male,NA,0220-CCL_Batch3_LIP-KASUMI-2.wiff,220-CCLE-batch3-HIL-KASUMI-2.wiff,0220-CCL_Batch_3_CMH-KASUMI-2.wiff,2704,75418,87771,46848,25740,109304,943663,106932,775723,183496,806960,81036,125515,491267,540797,250678,12166,28677,1390516,145189,128845,2616,140352,,1354,87653,,12398,,19485,877,8420,886,357,394,2464,,183462,26391,914723,2181961,120759,5281,109681,65730,,5512,672,5506,,1389,162,338,23737,1580,66017,2004,88512,2077951,1659,95418,183999,48794,1347,27463,97263,836,,133,227,1291,,390,499,,4716,
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,RPMI 1640 + 10% FBS,Batch3,male,NA,0219-CCL_Batch3_LIP-ME-1.wiff,219-CCLE-batch3-HIL-ME-1.wiff,0219-CCL_Batch_3_CMH-ME-1.wiff,1421,22733,42112,35417,23316,40799,477871,78638,859493,500674,621345,89449,118686,484840,537449,225077,10297,19412,2041194,109901,230694,3170,131862,,1068,7308,,10397,,28248,1476,7743,730,509,,3108,,128180,22981,910610,3079748,60916,10204,72563,75516,,6699,504,4582,,1675,,119,11343,,59110,2238,116847,167620,4355,172134,654542,48462,1753,33526,34144,1351,,394,644,962,178,1311,440,,5474,
LXF289_LUNG,lung_NSC,F10 + 10% FBS,Batch3,male,43.39310752,0218-CCL_Batch3_LIP-LXF-289.wiff,218-CCLE-batch3-HIL-LXF-289.wiff,0218-CCL_Batch_3_CMH-LXF-289.wiff,13432,1237172,141743,26541,36838,271547,3735748,354932,8845429,3761228,4353551,927537,206413,1878782,78279,1385774,3203,33748,13333886,125628,2834331,47713,906276,569,8428,26056,1794,173369,7304,382692,30755,127522,6095,19952,5641,46970,33355,1908273,34378,5724223,5178031,1754813,1052,2784667,878850,648,12015,1517,52979,5253,13099,11300,913,9036,15047,960472,2474903,1155888,236222,15317,1931544,4381988,421300,47971,485492,1597814,12688,1862,1707,1563,15729,2194,8057,539,7323,93372,1379
DAOY_CENTRAL_NERVOUS_SYSTEM,medulloblastoma,EMEM + 10% FBS,Batch3,male,30.94688983,0217-CCL_Batch3_LIP-Daoy.wiff,217-CCLE-batch3-HIL-Daoy.wiff,0217-CCL_Batch_3_CMH-Daoy.wiff,9633,4826831,36819,2512473,386468,819277,4877948,578528,993697,5463589,2258094,1683881,1986965,6098207,7697814,7975153,309290,991167,19473051,586229,1193901,24014,939929,1501,3171,143842,1946,122539,5468,436626,37478,77226,1593,13328,7006,29281,63406,1582418,73327,6218130,4134110,2111738,4426,4640603,1058786,241,10135,,3419,16807,8041,14623,89018,5399,19044,374211,5018509,3121846,1601148,19906,3430645,13518336,8413810,63511,1646938,2743140,12777,1083,1762,5614,13559,2658,10297,,26531,97029,860
UACC893_BREAST,breast,Leibovitz's L-15 + 10% FBS,Batch3,female,NA,0216-CCL_Batch3_LIP-UACC-893.wiff,216-CCLE-batch3-HIL-UACC-893.wiff,0216-CCL_Batch_3_CMH-UACC-893.wiff,4279,160619,204546,279957,97627,43344,95013,216901,532317,2729148,1611959,178745,272608,947148,2080161,1422852,124456,124615,950770,3664,109181,2228,114719,,,17853,1020,6236,,25088,1584,5129,328,1135,,5774,,87401,11166,1418497,2101641,872881,4153,586723,60089,91,11059,,1918,655,1184,473,4606,3473,916,40859,562408,118079,98115,9832,410049,2590794,142383,13782,23845,60645,1940,,738,25396,230593,100256,259962,360,824,4106,
SW1353_BONE,chondrosarcoma,RPMI 1640 + 10% FBS,Batch3,female,54.45009017,0214-CCL_Batch3_LIP-SW1353.wiff,214-CCLE-batch3-HIL-SW1353.wiff,0214-CCL_Batch_3_CMH-SW1353.wiff,7542,304114,257918,178261,236083,630483,2761525,575789,2629032,1624535,4225589,696682,519210,4573378,5032149,2115426,91126,311579,6961839,479987,929492,23395,825472,327,1206,35566,1155,106473,2349,180197,8533,70738,1735,10251,2793,23922,11327,1078497,149098,4240192,6196672,86355,559089,1969693,512373,251,7484,1470,4091,11153,8020,3049,68321,3808,2090,452845,9190015,784558,622903,25224,1094376,4186164,341929,14006,366468,575134,10038,1268,893,1364,11204,4217,6702,,1855,52238,626
HCC2108_LUNG,lung_NSC,RPMI 1640 + 10% FBS,Batch3,male,58.5,0213-CCL_Batch3_LIP-HCC-2108.wiff,213-CCLE-batch3-HIL-HCC-2108.wiff,0213-CCL_Batch_3_CMH-HCC-2108.wiff,4738,299442,19954,114758,87113,175657,2541322,415283,1081216,1699515,1524245,190168,239166,1766319,2254437,1323326,81189,199614,13106687,819307,263066,15172,59041,,,6781,1004,14818,1646,160092,8806,15441,3638,1246,8395,6647,20160,524300,20500,2537512,994839,1716192,54867,1172117,119200,,8320,,8317,798,2109,716,279,4457,4570,78307,2484674,777095,833429,22029,396115,2842049,127654,35829,107697,66548,2727,,289,895,10882,1639,5793,306,2866,21451,214
OAW42_OVARY,ovary,DMEM + 10% FBS,Batch3,female,34.84875311,0212-CCL_Batch3_LIP-OAW42.wiff,212-CCLE-batch3-HIL-OAW42.wiff,0212-CCL_Batch_3_CMH-OAW42.wiff,26351,1103649,290602,1219075,714061,241717,4402322,53135,18482275,4008533,1810505,3958491,3679003,12426252,13613345,13316544,508129,1300301,12340281,63499,296081,29793,1122991,,291,1439775,2325,159754,6965,241519,19413,100435,1780,16110,5597,33152,9441,4026669,792597,6568209,5742946,61480,8291,8051644,866966,255,6333,2545,20824,27309,16386,2441,18057,2053,,1759530,6305595,2704331,2116823,49951,4821366,12067945,1629759,50960,392821,206482,27921,1748,2025,5008,14087,1306,8481,,,163468,1074
HSC2_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,EMEM + 10% FBS,Batch3,male,33.61017015,0211-CCL_Batch3_LIP-HSC-2.wiff,211-CCLE-batch3-HIL-HSC-2.wiff,0211-CCL_Batch_3_CMH-HSC-2.wiff,31529,2327522,145307,1222373,579393,405935,3630095,538994,488894,9279353,1762735,2067239,3447732,9017378,11454056,14286871,627821,2207787,24426399,225318,962557,69202,746737,880,1987,39888,3345,152718,11675,445353,37474,83515,1931,14225,15541,25561,181869,955148,201485,6349721,2445458,181943,,2929273,594182,319,8618,,1469,51029,6510,1405,9328,2388,21847,432682,621904,3612640,666486,21039,2443087,13372958,7629990,46897,12612284,740284,28205,1473,2892,9929,17691,1942,12913,,14053,45930,777
JHH6_LIVER,liver,William's E Medium + 10% FBS,Batch3,female,34.38240276,0210-CCL_Batch3_LIP-JHH-6.wiff,210-CCLE-batch3-HIL-JHH-6.wiff,0210-CCL_Batch_3_CMH-JHH-6.wiff,23058,1133033,251638,696559,378891,232984,972093,299018,21612,2797938,1501588,2715919,2343407,9738269,7497202,7103615,347814,1157278,9181235,91389,322328,61579,362671,1793,869,19971,1497,105009,2446,240614,10530,76670,16699,18039,1309,32353,9141,1146274,159281,4832076,5105878,1194412,63373,954802,692342,646,8611,2164,1249,48652,55601,391,2237,2897,3820,34427,2110899,894588,842552,23041,1477896,9254106,548505,6317,348343,177885,5224,664,843,1121,2461,1762,3439,,6381,31339,1044
SW837_LARGE_INTESTINE,colorectal,RPMI 1640 + 10% FBS,Batch3,male,51.22255208,0209-CCL_Batch3_LIP-SW837.wiff,209-CCLE-batch3-HIL-SW837.wiff,0209-CCL_Batch_3_CMH-SW837.wiff,5480,286084,123400,131602,194232,775863,1639805,369338,2555693,1499421,2966840,678794,473510,3890169,4339812,2069787,96156,156097,5907867,337003,897192,21005,447189,520,,84054,898,85486,1256,158680,5913,68336,2658,21096,1685,71889,1351,716682,205020,5322192,4274674,1613075,2094,8173688,1030720,444,5728,1656,2426,9214,7599,1881,3092,2452,,448563,110079,1241548,248932,13413,2155304,5272040,643005,20536,370319,120098,35404,1564,8918,9375,12751,2225,17520,,1945,17069,1907
OV90_OVARY,ovary,MCDB 105;Medium 199 = 1;1 + 15% FBS,Batch3,female,62.50365906,0208-CCL_Batch3_LIP-OV-90.wiff,208-CCLE-batch3-HIL-OV-90.wiff,0208-CCL_Batch_3_CMH-OV-90.wiff,27510,945680,250446,307994,33072,330583,3059983,119204,287075,3043569,1872358,1167789,635020,3359158,1883687,4342948,255507,109209,18756519,535161,1171838,171751,147713,2781,6546,403356,2661,219466,15285,489704,17299,150631,34355,45873,7282,106001,15841,244381,622318,7714525,5416084,6179419,8328,2259107,1280194,1032,6436,,2176,15602,33550,7155,20788,5154,3809,714425,7113379,2021936,1536388,29255,1432477,11121397,555034,40706,594799,5466735,24079,1896,2524,7338,27686,9502,20627,,5315,21681,2282
SAOS2_BONE,osteosarcoma,McCoy's 5A + 15% FBS,Batch3,female,150.7,0207-CCL_Batch3_LIP-Saos-2.wiff,207-CCLE-batch3-HIL-Saos-2.wiff,0207-CCL_Batch_3_CMH-Saos-2.wiff,23675,886193,190165,242276,250566,191075,2661933,508280,399715,2345827,1207576,1084712,630390,2907623,2980726,4331655,106952,318884,13107993,1231220,603852,30126,728413,478,,27842,1309,55808,3447,258121,17071,59661,2097,10304,2349,26910,9396,434689,47353,4086882,7338061,428791,18324,3863908,783449,301,7437,1694,6753,35167,8132,10488,6961,3338,15881,363246,4956659,1320720,496562,69441,833277,5511181,2185599,37959,1849232,3952607,6861,976,4391,4532,3040,1718,2584,381,,38740,964
S117_SOFT_TISSUE,soft_tissue,RPMI 1640 + 10% FBS,Batch3,female,37.01615259,0206-CCL_Batch3_LIP-S-117a.wiff,206-CCLE-batch3-HIL-S-117.wiff,0206-CCL_Batch_3_CMH-S-117.wiff,20128,1818267,15213,230141,303835,215751,3757129,1303248,559146,1682261,3106422,426187,391157,5609947,6519536,2916560,141329,275930,19963028,1410638,811272,18135,537390,423,515,32022,1172,66620,3635,220825,10523,57445,1105,10966,2388,20602,15485,1196694,81299,4789595,2872886,426982,298232,2825301,593971,280,4490,,3487,5911,3632,500,338314,2608,3465,456031,8420083,2424341,1634501,29155,2158184,19719103,2478549,103327,894884,1404569,11429,893,2634,4750,10817,2500,6823,176,11504,76589,604
KNS81_CENTRAL_NERVOUS_SYSTEM,glioma,DMEM + 15% FBS,Batch3,male,58.37307498,0205-CCL_Batch3_LIP-KNS-81.wiff,205-CCLE-batch3-HIL-KNS-81.wiff,0205-CCL_Batch_3_CMH-KNS-81.wiff,2427,302971,123985,385531,306361,18075,384632,6030,2154239,930682,1230355,640353,1989157,5179879,7021156,6798682,268778,538863,1298857,11852,35582,4189,112239,,,29203,704,15098,1153,65098,4431,50619,665,979,770,12654,5162,2030277,570393,1433794,3024453,47150,2690,3185423,212463,124,8166,7066,261935,93606,2139,4143,175815,15404,1224,216843,6900699,190955,628224,11764,313681,1461391,419238,1644,232813,124675,3796,538,2317,2319,5082,3361,8718,338,,11636,523
BICR6_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,DMEM + 10% FBS,Batch3,male,32.13465018,0204-CCL_Batch3_LIP-BICR6.wiff,204-CCLE-batch3-HIL-BICR6.wiff,0204-CCL_Batch_3_CMH-BICR6.wiff,19488,779568,236715,915040,486423,119520,2393904,85644,10867445,2787867,1102849,2527441,2884634,8692683,9755873,12664126,505672,1312182,7161772,39799,195502,15872,536450,,,20114,1538,81369,8923,187688,16246,75201,967,12514,1928,64197,99294,4109089,660825,4657618,5414965,647781,514570,925180,554067,381,5126,2092,1152,1600,9951,531,216,3105,,1386502,6870107,1045951,1371858,40403,1107629,9127886,435570,17003,887144,51695,9959,1158,6780,23289,53834,11591,24355,153,2674,48334,1545
TE441T_SOFT_TISSUE,soft_tissue,DMEM + 10% FBS,Batch3,female,NA,0203-CCL_Batch3_LIP-TE441-T.wiff,203-CCLE-batch3-HIL-TE441-T.wiff,0203-CCL_Batch_3_CMH-TE441-T.wiff,17528,122421,93028,233495,64599,155365,1870853,33243,1946976,625311,239790,491125,402657,1379323,1528756,1847097,73418,193876,1172079,15461,52439,4234,77772,,,14022,,18876,540,53015,2098,9660,326,1184,2213,3178,,672469,64047,7022451,5121579,17095,528042,2453932,129900,,4975,440,2159,10101,1826,7699,105903,2606,1721,105512,419703,847641,786942,10961,925311,3260698,218724,31396,405691,39077,6324,411,808,2393,5974,2553,9996,425,,5176,
TUHR4TKB_KIDNEY,kidney,DMEM + 10% FBS,Batch3,male,52.26926768,0202-CCL_Batch3_LIP-TUHR4TKB.wiff,202-CCLE-batch3-HIL-TUHR4TKB.wiff,0202-CCL_Batch_3_CMH-TUHR4TKB.wiff,8989,268443,336761,838641,466380,114859,3465173,23872,7911807,2011652,2402499,4067645,3438561,8497705,9917788,9983971,387480,699128,2990736,24292,254649,19962,1207421,,1269,48944,969,41952,4867,164583,11970,92402,1129,10363,2935,25351,22261,3975710,731127,3413638,5961150,250623,16348,6354350,614840,392,7034,8041,30119,11216,11483,1921,41960,15865,,1114311,7653310,749876,1459131,38767,1484626,1951751,1399400,10140,500761,714743,11054,1110,1090,675,1295,246,2944,591,1100,141645,798
HUH28_BILIARY_TRACT,bile_duct,RPMI 1640 + 10% FBS,Batch3,NA,68.32426975,0201-CCL_Batch3_LIP-HuH28.wiff,201-CCLE-batch3-HIL-HuH28.wiff,0201-CCL_Batch_3_CMH-HuH28.wiff,2172,61644,180453,125363,134544,423790,1443082,273185,2701884,1220569,2471205,506971,478272,2627961,2931041,1468573,64741,141909,2837898,252109,499032,12409,219043,268,1931,10861,371,34774,,100696,3691,41509,4553,3278,996,15800,3385,617553,84456,2403869,3759568,79935,105978,1778622,335763,289,7068,3799,65952,1491,3979,1449,10202,27699,,274632,3730902,208167,246443,11400,405119,887508,132369,4534,231569,106692,9447,794,5302,19416,47239,12041,106962,611,,11168,469
8MGBA_CENTRAL_NERVOUS_SYSTEM,glioma,EMEM + 20% FBS,Batch_2,female,21.62868232,201-CCLE-Batch_2-LIP-8-MG-BA.wiff,201-CCLE-Batch_2-HIL-8-MG-BA.wiff,201-CCLE_Batch_2_-CMH-8-MG-BA.wiff,7395,369376,105374,976480,403267,46000,890293,4376,88430,2831225,1598515,1864194,2987796,6223700,6420402,9182460,360200,1682281,4805414,679967,884761,106752,227262,3042,11990,169596,,169682,1115,403944,,141443,1477,14822,833,69880,39098,1359019,240646,9620060,6318654,2898678,243399,2490453,766088,,14419,,10531,38933,,6658,50746,5570,5728,53072,1970471,1378247,1223025,61893,874716,11377418,1107320,18016,1961268,721840,18039,2228,401,,12959,,,,5255,,
CORL47_LUNG,lung_small_cell,RPMI 1640 + 10% FBS,Batch3,male,NA,0200-CCL_Batch3_LIP-COR-L47.wiff,200-CCLE-batch3-HIL-COR-L47.wiff,0200-CCL_Batch_3_CMH-COR-L47.wiff,2040,95587,69392,51662,37402,58568,590915,97950,845484,423158,885136,187939,197789,812192,921708,481286,21547,62408,1618028,161103,431183,8784,92512,644,5963,49203,,10285,,67587,2388,22278,2021,835,1106,10835,10671,291937,39227,2061133,2400730,154412,9530,379899,230384,90,7459,1352,8193,17484,2715,29457,31161,19865,,101689,1278,381501,813026,3317,687326,1666135,152504,4364,511728,818997,6538,895,1544,1214,1839,659,2867,564,,4467,416
DKMG_CENTRAL_NERVOUS_SYSTEM,glioma,RPMI 1640 + 10% FBS,Batch_2,female,82.04649252,200-CCLE-Batch_2-LIP-DK-MG.wiff,200-CCLE-Batch_2-HIL-DK-MG.wiff,200-CCLE_Batch_2_-CMH-DK-MG.wiff,10554,582067,333753,314054,409315,615884,3503268,651889,3357337,1845847,5874086,1490464,1368863,7456718,8291245,4894428,194505,917506,8839901,543472,1757381,60341,152188,,537,155980,,115025,947,250810,,109309,2230,16918,696,42157,53722,1824267,248079,5453823,7409851,79115,4251,2623896,548423,,7101,,11536,48356,,2178,60381,4797,,966743,4156084,650466,849030,50396,745267,2138661,974610,18381,108063,347205,13210,1483,715,,13765,,,,2939,,
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,IMDM + 10% FBS,Batch3,male,39.41731659,0199-CCL_Batch3_LIP-PE-CA-PJ49.wiff,199-CCLE-batch3-HIL-PE-CA-PJ49.wiff,0199-CCL_Batch_3_CMH-PE-CA-PJ49.wiff,8081,333253,280452,706338,407605,230078,2588122,192598,7069019,2026035,1729044,2871197,2773016,6892155,7742510,8665262,331445,585787,6955056,25873,173994,12948,224283,1172,7785,72502,997,41195,2789,160600,12098,62744,1973,7129,1078,26518,67108,3448107,617970,3438565,4999935,195762,31389,5303374,998254,250,5686,7966,284317,1738,6131,3266,5118,11481,1377,951864,1875391,482206,997663,11487,666463,1640483,703151,13473,905290,233874,9479,1045,2176,2198,2420,317,2610,475,1815,15869,791
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_DLBCL,RPMI 1640 + 10% FBS,Batch_2,female,34.6,199-CCLE-Batch_2-LIP-A3_KAW.wiff,199-CCLE-Batch_2-HIL-A3_KAW.wiff,199-CCLE_Batch_2_-CMH-A3-KAW.wiff,15701,1513528,32256,238378,114920,446952,3706067,761306,40120,1250970,856353,136967,529271,2194737,3166502,1761937,104499,343050,17770938,1530026,491561,55878,422920,264,1857,9217,,20473,509,223354,,16609,327,499,4372,7120,9979,211863,57207,2572286,1614786,89117,9205,880452,83563,,5617,,6569,,,,13568,26930,2056,43814,,1991496,89710,21894,1584355,13535967,1322146,90952,365270,4375957,10447,8512,352,,7288,,,,8485,,
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,RPMI 1640 + 20% FBS,Batch3,female,NA,0198-CCL_Batch3_LIP-MOLM-16.wiff,198-CCLE-batch3-HIL-MOLM-16.wiff,0198-CCL_Batch_3_CMH-MOLM-16.wiff,3735,68813,56965,55962,18942,176043,1140962,99395,859123,195480,545302,89672,95994,371734,393318,208936,10756,32335,1138600,150602,151648,4189,81583,,4337,29120,465,7389,,40664,1351,14471,1313,498,1037,4497,1363,74280,38334,793598,2654424,260548,4226,705522,123574,,5409,465,7829,923,2537,764,29705,33840,2148,53190,3507,51032,863460,1382,44852,76333,40324,478,25064,5353,1795,176,843,1043,9211,2229,3115,659,,3509,
